Date;Temperature;Pressure;Ozone
20240507;21.65;1003.73;258.81
20240402;19;1000;250
20240227;18;1003.73;258.81
20240217;15;1010;300
20240105;10;1000;250
20230925;21.65;1003.73;258.81
20230915;25.06;994.57;287.31
20230910;31.12;997.56;267.49
20230907;27.76;998.19;271.78
20230902;27.06;1001.08;317.63
20230821;25.19;1004.06;297.65
20230614;26.6;995.86;354.19
20230607;25.59;997.99;357.51
20230604;23.31;999.52;339.7
20230602;17.31;999.76;335.74
20230530;20.05;1002.84;360.71
20230528;23.73;998.73;360.71
20230525;18.67;1005.78;344.98
20230520;19.72;999.32;350.57
20230503;18.32;1001.24;352.21
20230408;12.27;1004.58;357.01
20230405;11.55;1001.84;378.38
20230403;9.69;1006.47;300
20230227;5.18;1005.64;161.95
20230214;7.26;1011.1;227.69
20230209;5.4;1015.78;300.27
20230207;4.7;1016.49;265.38
20230118;4.97;982.72;250
20221104;12.34;992.33;287.82
20221101;16.37;998.81;287.82
20221022;19.88;993.83;261.56
20221007;17.74;1002.95;279.26
